date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:34:51	2189/2189	---M--	200	added ('OK')	text/plain	etag:%2288d-5c06f7c5e2200%22	http://www.necbdc.org.in/robots.txt		(from )
00:34:53	64384/64384	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:04:51%20GMT	http://www.necbdc.org.in/	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/index.html	(from )
00:34:55	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5aef624ac1b00%22	http://www.necbdc.org.in/favicon.ico	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/favicon.ico	(from http://www.necbdc.org.in/)
00:34:55	27876/27876	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2026%20Mar%202022%2019:04:54%20GMT	http://www.necbdc.org.in/rss.xml	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/rss.xml	(from http://www.necbdc.org.in/)
00:34:55	3351/3351	---M--	200	added ('OK')	text/css	etag:%22d17-5af42d57d1500%22	http://www.necbdc.org.in/sites/all/libraries/owlcarousel/assets/owl.carousel.min.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/libraries/owlcarousel/assets/owl.carousel.min1c09.css	(from http://www.necbdc.org.in/)
00:34:55	1013/1013	---M--	200	added ('OK')	text/css	etag:%223f5-5af42d57d1500%22	http://www.necbdc.org.in/sites/all/libraries/owlcarousel/assets/owl.theme.default.min.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/libraries/owlcarousel/assets/owl.theme.default.min1c09.css	(from http://www.necbdc.org.in/)
00:34:55	939/939	---M--	200	added ('OK')	text/css	etag:%223ab-59fb82c9f75c0%22	http://www.necbdc.org.in/sites/all/modules/blazy/css/blazy.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/blazy/css/blazy1c09.css	(from http://www.necbdc.org.in/)
00:34:55	743/743	---M--	200	added ('OK')	text/css	etag:%222e7-59fb82c9f75c0%22	http://www.necbdc.org.in/sites/all/modules/blazy/css/components/blazy.filter.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/blazy/css/components/blazy.filter1c09.css	(from http://www.necbdc.org.in/)
00:34:56	21043/21043	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2026%20Mar%202022%2019:04:54%20GMT	http://www.necbdc.org.in/article/feed	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/article/feed	(from http://www.necbdc.org.in/)
00:34:56	984/984	---M--	200	added ('OK')	text/css	etag:%223d8-59fb82c9f75c0%22	http://www.necbdc.org.in/sites/all/modules/blazy/css/components/blazy.ratio.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/blazy/css/components/blazy.ratio1c09.css	(from http://www.necbdc.org.in/)
00:34:56	1272/1272	---M--	200	added ('OK')	text/css	etag:%224f8-59fb82c9f75c0%22	http://www.necbdc.org.in/sites/all/modules/blazy/css/components/blazy.loading.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/blazy/css/components/blazy.loading1c09.css	(from http://www.necbdc.org.in/)
00:34:56	55/55	---M--	200	added ('OK')	text/css	etag:%2237-5aef1acfa7600%22	http://www.necbdc.org.in/sites/all/modules/high_contrast/high_contrast.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/high_contrast/high_contrast1c09.css	(from http://www.necbdc.org.in/)
00:34:56	531/531	---M--	200	added ('OK')	text/css	etag:%22213-5810a4727ccc0%22	http://www.necbdc.org.in/sites/all/modules/tagclouds/tagclouds.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/tagclouds/tagclouds1c09.css	(from http://www.necbdc.org.in/)
00:34:56	6088/6088	---M--	200	added ('OK')	text/css	etag:%2217c8-5da5142bcef24%22	http://www.necbdc.org.in/sites/default/files/css/follow.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/css/follow1c09.css	(from http://www.necbdc.org.in/)
00:34:57	205/205	---M--	200	added ('OK')	text/css	etag:%22cd-5ac9d1c49e100%22	http://www.necbdc.org.in/sites/all/modules/quicktabs/css/quicktabs.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/quicktabs/css/quicktabs1c09.css	(from http://www.necbdc.org.in/)
00:34:57	2195/2195	---M--	200	added ('OK')	text/css	etag:%22893-5ac9d1c49e100%22	http://www.necbdc.org.in/sites/all/modules/quicktabs/quicktabs_tabstyles/tabstyles/excel/excel.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/quicktabs/quicktabs_tabstyles/tabstyles/excel/excel1c09.css	(from http://www.necbdc.org.in/)
00:34:58	105929/105929	---M--	200	added ('OK')	text/css	etag:%2219dc9-581afda94d480%22	http://www.necbdc.org.in/sites/all/themes/drupal-openframework/packages/bootstrap-2.3.1/css/bootstrap.min.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/themes/drupal-openframework/packages/bootstrap-2.3.1/css/bootstrap.min1c09.css	(from http://www.necbdc.org.in/)
00:34:59	16849/16849	---M--	200	added ('OK')	text/css	etag:%2241d1-581afda94d480%22	http://www.necbdc.org.in/sites/all/themes/drupal-openframework/packages/bootstrap-2.3.1/css/bootstrap-responsive.min.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/themes/drupal-openframework/packages/bootstrap-2.3.1/css/bootstrap-responsive.min1c09.css	(from http://www.necbdc.org.in/)
00:34:59	28759/28759	---M--	200	added ('OK')	text/css	etag:%227057-581afda94d480%22	http://www.necbdc.org.in/sites/all/themes/drupal-openframework/packages/font-awesome-4.6.1/css/font-awesome.min.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/themes/drupal-openframework/packages/font-awesome-4.6.1/css/font-awesome.min1c09.css	(from http://www.necbdc.org.in/)
00:35:00	94093/94093	---M--	200	added ('OK')	text/css	etag:%2216f8d-581afda94d480%22	http://www.necbdc.org.in/sites/all/themes/drupal-openframework/css/open_framework.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/themes/drupal-openframework/css/open_framework1c09.css	(from http://www.necbdc.org.in/)
00:35:01	1487/1487	---M--	200	added ('OK')	text/css	etag:%225cf-581afda94d480%22	http://www.necbdc.org.in/sites/all/themes/drupal-openframework/css/open_framework_print.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/themes/drupal-openframework/css/open_framework_print1c09.css	(from http://www.necbdc.org.in/)
00:35:01	392/392	---M--	200	added ('OK')	text/css	etag:%22188-5aef725917c80%22	http://www.necbdc.org.in/sites/default/files/css_injector/css_injector_1.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/css_injector/css_injector_11c09.css	(from http://www.necbdc.org.in/)
00:35:02	158/158	---M--	200	added ('OK')	text/css	etag:%229e-5aef72e26c080%22	http://www.necbdc.org.in/sites/default/files/css_injector/css_injector_2.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/css_injector/css_injector_21c09.css	(from http://www.necbdc.org.in/)
00:35:02	373/373	---M--	200	added ('OK')	text/css	etag:%22175-56b830edff780%22	http://www.necbdc.org.in/sites/default/files/css_injector/css_injector_3.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/css_injector/css_injector_31c09.css	(from http://www.necbdc.org.in/)
00:35:02	353/353	---M--	200	added ('OK')	text/css	etag:%22161-5af5c4b8df5c0%22	http://www.necbdc.org.in/sites/default/files/css_injector/css_injector_7.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/css_injector/css_injector_71c09.css	(from http://www.necbdc.org.in/)
00:35:02	1151/1151	---M--	200	added ('OK')	text/css	etag:%2247f-5af4873bfa980%22	http://www.necbdc.org.in/sites/default/files/css_injector/css_injector_8.css?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/css_injector/css_injector_81c09.css	(from http://www.necbdc.org.in/)
00:35:04	3814/3814	---M--	200	added ('OK')	application/javascript	etag:%22ee6-59fb82c9f75c0%22	http://www.necbdc.org.in/sites/all/modules/blazy/js/dblazy.min.js?v=7.x-1.2	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/blazy/js/dblazy.minac3d.js	(from http://www.necbdc.org.in/)
00:35:04	5192/5192	---M--	200	added ('OK')	application/javascript	etag:%221448-5af432a3f1480%22	http://www.necbdc.org.in/sites/all/libraries/blazy/blazy.min.js?v=7.x-1.2	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/libraries/blazy/blazy.minac3d.js	(from http://www.necbdc.org.in/)
00:35:04	2760/2760	---M--	200	added ('OK')	application/javascript	etag:%22ac8-59fb82c9f75c0%22	http://www.necbdc.org.in/sites/all/modules/blazy/js/bio.min.js?v=7.x-1.2	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/blazy/js/bio.minac3d.js	(from http://www.necbdc.org.in/)
00:35:05	1940/1940	---M--	200	added ('OK')	application/javascript	etag:%22794-59fb82c9f75c0%22	http://www.necbdc.org.in/sites/all/modules/blazy/js/bio.media.min.js?v=7.x-1.2	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/blazy/js/bio.media.minac3d.js	(from http://www.necbdc.org.in/)
00:35:06	3561/3561	---M--	200	added ('OK')	application/javascript	etag:%22de9-59fb82c9f75c0%22	http://www.necbdc.org.in/sites/all/modules/blazy/js/blazy.load.min.js?v=7.x-1.2	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/blazy/js/blazy.load.minac3d.js	(from http://www.necbdc.org.in/)
00:35:07	3655/3655	---M--	200	added ('OK')	application/javascript	etag:%22e47-56b830ed0b540%22	http://www.necbdc.org.in/sites/all/modules/jquery_update/replace/ui/external/jquery.cookie.js?v=67fb34f6a866c40d0570	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/jquery_update/replace/ui/external/jquery.cookie1683.js	(from http://www.necbdc.org.in/)
00:35:07	10594/10594	---M--	200	added ('OK')	application/javascript	etag:%222962-56b830ed0b540%22	http://www.necbdc.org.in/sites/all/modules/jquery_update/replace/misc/jquery.form.min.js?v=2.69	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/jquery_update/replace/misc/jquery.form.min97e5.js	(from http://www.necbdc.org.in/)
00:35:07	302/302	---M--	200	added ('OK')	application/javascript	etag:%2212e-56b830ed0b540%22	http://www.necbdc.org.in/sites/all/modules/jquery_update/js/jquery_update.js?v=0.0.1	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/modules/jquery_update/js/jquery_update241d.js	(from http://www.necbdc.org.in/)
